package,version,source,license,cargo_checksum,classification
dtor,0.3.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,f1057d6c64987086ff8ed0fd3fbf377a6b7d205cc7715868cd401705f715cbe4,PERMISSIVE_OR_NOTICE
dtor-proc-macro,0.0.6,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,f678cf4a922c215c63e0de95eb1ff08a958a81d47e485cf9da1e27bf6305cfa5,PERMISSIVE_OR_NOTICE
dunce,1.0.5,registry+https://github.com/rust-lang/crates.io-index,CC0-1.0 OR MIT-0 OR Apache-2.0,92773504d58c093f6de2459af4af33faa518c13451eb8f2b5698ed3d36e7c813,PERMISSIVE_OR_NOTICE
dyn-clone,1.0.20,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,d0881ea181b1df73ff77ffaaf9c7544ecc11e82fba9b5f27b262a3c73a332555,PERMISSIVE_OR_NOTICE
embed-resource,3.0.11,registry+https://github.com/rust-lang/crates.io-index,MIT,fbfdaacccebec3b28e4866b8973543c7647797db5ada1bdab552e48fe665fbbd,PERMISSIVE_OR_NOTICE
embed_plist,1.2.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,4ef6b89e5b37196644d8796de5268852ff179b44e96276cf4290264843743bb7,PERMISSIVE_OR_NOTICE
encode_unicode,1.0.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,34aa73646ffb006b8f5147f3dc182bd4bcb190227ce861fc4a4844bf8e3cb2c0,PERMISSIVE_OR_NOTICE
equivalent,1.0.2,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f,PERMISSIVE_OR_NOTICE
erased-serde,0.4.10,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,d2add8a07dd6a8d93ff627029c51de145e12686fbc36ecb298ac22e74cf02dec,PERMISSIVE_OR_NOTICE
errno,0.3.14,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb,PERMISSIVE_OR_NOTICE
fallible-iterator,0.3.0,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,2acce4a10f12dc2fb14a218589d4f1f62ef011b2d0cc4b3cb1bba8e94da14649,PERMISSIVE_OR_NOTICE
fallible-streaming-iterator,0.1.9,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,7360491ce676a36bf9bb3c56c1aa791658183a54d2744120f27285738d90465a,PERMISSIVE_OR_NOTICE
fastrand,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,37909eebbb50d72f9059c3b6d82c0463f2ff062c9e95845c43a6c9c0355411be,PERMISSIVE_OR_NOTICE
